Fouch_upper-mantle_SKS_splitting-2004.dat
Station Latitude Longitude     phi      dt  10.0
HPK      53.9554   -1.6240      81    0.62  10.0
HTL      50.9944   -4.4850      95    0.58  10.0
KPL      57.3391   -5.6527      83    0.65  10.0
LRW      60.1360   -1.1779       4    0.53  10.0
MCD      57.5827   -3.2541      45    0.94  10.0
MCH      51.9977   -2.9983      20    0.79  10.0
PGB      55.8100   -4.4780      94    1.03  10.0
SWN      51.5130   -1.8005     -66    0.49  10.0
TFO      51.1136    1.1406      70    0.67  10.0
WCB      53.3782   -4.5465     -26    0.60  10.0
ADW      38.4160 -121.0000      91    1.80  10.0
AFD      38.9480 -120.9710     101    1.30  10.0
BKS      37.8770 -122.2350     120    1.58  10.0
BMN      40.4310 -117.2220      81    2.00  10.0
CMB      38.0350 -120.3850      85    1.68  10.0
DNY      41.0810 -119.2270      82    1.61  10.0
GSC      35.3030 -116.8080      92    1.07  10.0
ISA      35.6630 -118.4730      11    1.52  10.0
KVN      39.0510 -118.1000      55    0.92  10.0
LAC      34.3900 -116.4100     103    1.35  10.0
MHC      37.3420 -121.6420     122    1.53  10.0
MIN      40.3450 -121.6100      79    0.78  10.0
MNA      38.4330 -118.1570      93    1.29  10.0
ORV      39.5560 -121.5000       0    0.00  10.0
PAS      34.1480 -118.1720      82    1.21  10.0
PFO      33.6090 -116.4550      89    1.45  10.0
PKD      35.8890 -120.4200      93    1.60  10.0
SAO      36.7650 -121.4450     111    1.73  10.0
SBC      34.4410 -119.7130      91    1.02  10.0
STA      37.4040 -122.1740     117    1.54  10.0
SVD      34.1040 -117.0970      87    1.55  10.0
WCK      37.5280 -118.6510      52    1.30  10.0
WCN      39.3020 -119.7560      56    0.84  10.0
WDC      40.5800 -122.5400      48    1.08  10.0
BPI     -26.1750   28.0300      20    0.40  10.0
DOU     -29.1150   23.8650      40    1.10  10.0
KAM     -29.1330   23.1250      20    1.40  10.0
KLI     -25.8530   26.2720      40    1.00  10.0
PIL     -25.2210   27.1010      50    0.60  10.0
SAN     -24.6260   27.6180      30    0.70  10.0
WAR     -28.3770   24.8930      20    1.30  10.0
AGVB    -19.7393  -50.2331     -73    0.95  10.0
CACB    -21.6802  -46.7326     -59    0.90  10.0
CAP     -22.6631  -51.0535     -84    0.86  10.0
CAPB    -22.8125  -51.0149      86    0.60  10.0
CDCB    -20.2365  -44.7182     -53    0.60  10.0
FRMB    -20.4878  -45.6418     -56    0.95  10.0
FURB    -20.6782  -46.2779     -54    0.85  10.0
IBIB    -21.7772  -48.8139      89    0.75  10.0
NAVB    -21.4336  -54.1842      57    0.65  10.0
OLIB    -20.8793  -48.9306     -69    0.35  10.0
PARB    -23.3417  -45.6244      74    1.05  10.0
PPDB    -22.0327  -51.3133      89    0.65  10.0
PTMB    -21.4628  -57.4756      56    1.55  10.0
RIFB    -20.0737  -47.5019     -67    1.60  10.0
TRIB    -20.6725  -51.3258      78    0.60  10.0
NAP0     42.7025    9.3606      62    1.20  10.0
NAP1     42.7864   10.3814     101    1.00  10.0
NAP2     42.9053   10.9122      82    0.90  10.0
NAP3     42.9303   11.2228      60    1.30  10.0
NAP4     43.0356   11.6128     117    1.30  10.0
NAP5     43.1269   12.0569     139    1.40  10.0
NAP6     43.1753   12.3842     123    1.30  10.0
NAP7     43.3372   12.7469     170    1.10  10.0
NAP8     43.3808   13.1653     177    0.40  10.0
NAP9     43.5419   13.6081     151    0.80  10.0
CAY       4.9480  -52.3170     299    0.75  10.0
MBO      14.3910  -16.9550      82    0.75  10.0
CECV     10.5700  -64.1700      84    1.60  10.0
ECPV      9.1800  -65.2500      83    1.00  10.0
HSPV      9.8700  -64.1700     108    1.30  10.0
MNVV      9.9500  -64.0300      97    1.60  10.0
BLA      37.5418 -105.5746      23    0.75  10.0
BTO      40.3931 -105.1999      52    0.93  10.0
BUR      39.3888 -102.3510      53    1.35  10.0
HLD      39.2287 -109.1402      70    0.60  10.0
LED      39.1532 -106.3450      18    0.63  10.0
LMN      39.4163 -103.6222      28    1.20  10.0
MKR      40.0330 -107.7440      48    0.48  10.0
MON      38.4098 -107.9973     -28    0.45  10.0
ORD      38.5308 -103.7067      48    0.25  10.0
RKF      38.0731 -103.6302     -40    0.88  10.0
SFK      37.6880 -106.6225      38    1.03  10.0
SHL      38.5955 -102.4572      44    0.60  10.0
SPR      37.4590 -102.6400     -26    0.62  10.0
WIG      40.3270 -104.0735      61    0.93  10.0
YUM      40.1630 -102.7803      44    0.65  10.0
BPI     -26.1750   28.0300      20    0.40  10.0
DOU     -29.1150   23.8650      40    1.10  10.0
KAM     -29.1330   23.1250      20    1.40  10.0
KLI     -25.8530   23.2720      40    1.00  10.0
PIL     -25.2210   27.1010      50    0.60  10.0
SAN     -24.6260   27.6180      30    0.70  10.0
WAR     -28.3770   24.8930      20    1.30  10.0
BCMR     39.5100  -77.7100      73    1.06  10.0
BINY     42.1990  -75.9860     101    0.85  10.0
BLA      37.2110  -80.4210      58    1.12  10.0
CBKS     38.8140  -99.7370      42    0.61  10.0
CBM      46.9330  -68.1210      39    1.15  10.0
CCM      38.0560  -91.2450      34    0.73  10.0
CEH      35.8910  -79.0930     104    1.11  10.0
CSMR     39.6900  -77.9700      50    0.98  10.0
DRLN     49.2500  -57.5000      29    0.85  10.0
DTMR     38.9600  -77.0600      66    0.75  10.0
DUG      40.1950 -112.8130     326    0.67  10.0
EUAL     32.7790  -87.8740      92    0.80  10.0
EYMN     47.9460  -91.4950      52    1.38  10.0
FVM      37.9840  -90.4260      42    0.83  10.0
GOGA     33.4110   83.4670     144    1.15  10.0
HRV      42.5060  -71.5580      86    0.99  10.0
JFWS     42.9150  -90.2490      46    0.84  10.0
LBNH     44.2400  -71.9260      83    1.34  10.0
LSCT     41.6780  -73.2240      83    1.38  10.0
MCWV     39.6580  -79.8460      67    1.18  10.0
MIAR     34.5460  -93.5730      89    1.15  10.0
MYNC     35.0740  -84.1280      63    1.38  10.0
OXF      34.5120  -89.4090      61    1.55  10.0
RSCP     35.6000  -85.5900      59    0.75  10.0
RSNY     44.5480  -74.5300      74    0.90  10.0
SCP      40.7950  -77.8650      64    0.83  10.0
SSPA     40.6360  -77.8880      70    1.15  10.0
WFM      42.6100  -71.4900      96    1.10  10.0
WMOK     34.7380  -98.7810     109    0.77  10.0
YSNY     42.4760  -78.5370      77    1.06  10.0
